School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Advanced Course Type,Subject,Course Enrollment,Couse Completers,Students With Qualifying Score
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,All Enrollments,"136,572","124,028","117,355"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Mathematics,952,836,737
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Agricultural Education,"2,651","2,378","2,268"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Science,"1,069",945,885
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Arts & Humanities,"5,758","5,356","5,068"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Social Studies,"1,759","1,593","1,522"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Business Education,"8,461","7,585","7,144"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Elementary,8,6,6
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Engineering and Technology Program Area,"1,578","1,442","1,345"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,English/Language Arts,"1,336","1,169","1,117"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Family & Consumer Sciences,"1,521","1,300","1,186"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Health Related Activities,137,126,117
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Health Science,"13,781","11,680","11,102"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Industrial Education,"12,734","10,851","10,291"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Information Technology,"2,854","2,610","2,382"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Marketing Education,"1,846","1,725","1,638"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Miscellaneous,621,536,520
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Multiple Pathway Career and Technical Education,"2,727","2,312","2,157"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Natural Sciences,"10,406","9,561","9,058"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Oral Communications,"6,762","6,369","6,008"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Pathway to Careers,*,*,*
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Quantitative Reasoning,"14,314","13,167","12,324"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Social and Behavioral Sciences,"17,669","16,318","15,514"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Special Education,37,36,31
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Visual and Performing Arts,344,314,288
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Visual and Performing Arts General,"1,944","1,763","1,682"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,World Languages,"3,403","3,162","3,032"
20242025,,,999,All Districts,,All Schools,999000,,,,,,Dual Credit,Written Communications,"21,899","20,887","19,932"
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,All Enrollments,594,573,550
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Mathematics,42,40,38
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Agricultural Education,29,29,29
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Science,8,8,8
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Arts & Humanities,3,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Social Studies,3,3,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Business Education,30,29,27
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Family & Consumer Sciences,17,17,17
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Health Science,103,99,95
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Industrial Education,83,77,76
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Marketing Education,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Multiple Pathway Career and Technical Education,31,30,30
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Natural Sciences,8,8,7
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Oral Communications,54,54,53
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Quantitative Reasoning,6,6,4
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Social and Behavioral Sciences,100,97,94
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Visual and Performing Arts,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Visual and Performing Arts General,13,10,9
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,World Languages,*,*,*
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Dual Credit,Written Communications,59,59,55
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,All Enrollments,594,573,550
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Mathematics,42,40,38
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Agricultural Education,29,29,29
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Science,8,8,8
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Arts & Humanities,3,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Social Studies,3,3,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Business Education,30,29,27
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Family & Consumer Sciences,17,17,17
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Health Science,103,99,95
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Industrial Education,83,77,76
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Marketing Education,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Multiple Pathway Career and Technical Education,31,30,30
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Natural Sciences,8,8,7
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Oral Communications,54,54,53
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Quantitative Reasoning,6,6,4
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Social and Behavioral Sciences,100,97,94
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Visual and Performing Arts,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Visual and Performing Arts General,13,10,9
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,World Languages,*,*,*
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Dual Credit,Written Communications,59,59,55
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,All Enrollments,732,510,475
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Mathematics,24,20,15
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Agricultural Education,11,7,5
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Science,26,17,16
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Arts & Humanities,56,42,39
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Social Studies,7,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Business Education,40,21,21
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,English/Language Arts,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Family & Consumer Sciences,10,4,4
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Health Science,58,56,53
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Industrial Education,80,65,65
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Information Technology,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Marketing Education,7,7,7
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Multiple Pathway Career and Technical Education,43,38,36
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Natural Sciences,24,16,14
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Oral Communications,64,34,24
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Quantitative Reasoning,78,57,55
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Social and Behavioral Sciences,106,81,77
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,World Languages,*,*,*
20242025,002,ALLEN,005,Allen County,,All Schools,005000,,2100070,GRREC,902,,Dual Credit,Written Communications,94,44,43
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,All Enrollments,732,510,475
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Mathematics,24,20,15
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Agricultural Education,11,7,5
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Science,26,17,16
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Arts & Humanities,56,42,39
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Social Studies,7,*,*
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Business Education,40,21,21
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,English/Language Arts,*,*,*
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Family & Consumer Sciences,10,4,4
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Health Science,58,56,53
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Industrial Education,80,65,65
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Information Technology,*,*,*
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Marketing Education,7,7,7
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Multiple Pathway Career and Technical Education,43,38,36
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Natural Sciences,24,16,14
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Oral Communications,64,34,24
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Quantitative Reasoning,78,57,55
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Social and Behavioral Sciences,106,81,77
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,World Languages,*,*,*
20242025,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000000,GRREC,902,A1,Dual Credit,Written Communications,94,44,43
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,All Enrollments,794,757,744
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Arts & Humanities,46,46,46
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Business Education,24,24,24
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Health Science,39,38,38
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Industrial Education,4,4,4
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Natural Sciences,170,159,157
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Oral Communications,59,54,54
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Quantitative Reasoning,84,80,80
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Social and Behavioral Sciences,192,182,173
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Visual and Performing Arts General,*,*,*
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,World Languages,27,26,26
20242025,003,ANDERSON,011,Anderson County,,All Schools,011000,,2100120,CKEC,901,,Dual Credit,Written Communications,148,143,141
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,All Enrollments,794,757,744
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Arts & Humanities,46,46,46
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Business Education,24,24,24
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Health Science,39,38,38
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Industrial Education,4,4,4
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Natural Sciences,170,159,157
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Oral Communications,59,54,54
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Quantitative Reasoning,84,80,80
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Social and Behavioral Sciences,192,182,173
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Visual and Performing Arts General,*,*,*
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,World Languages,27,26,26
20242025,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000000,CKEC,901,A1,Dual Credit,Written Communications,148,143,141
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,All Enrollments,416,413,409
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Mathematics,46,45,41
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Science,48,48,48
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Social Studies,116,116,116
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Business Education,65,65,65
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,English/Language Arts,125,124,124
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Family & Consumer Sciences,*,*,*
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Health Science,12,12,12
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Industrial Education,*,*,*
20242025,010,BOYD,012,Ashland Independent,,All Schools,012000,,2100150,KEDC,903,,Dual Credit,Quantitative Reasoning,*,*,*
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,All Enrollments,416,413,409
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Mathematics,46,45,41
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Science,48,48,48
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Social Studies,116,116,116
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Business Education,65,65,65
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,English/Language Arts,125,124,124
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Family & Consumer Sciences,*,*,*
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Health Science,12,12,12
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Industrial Education,*,*,*
20242025,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000000,KEDC,903,A1,Dual Credit,Quantitative Reasoning,*,*,*
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,All Enrollments,95,79,72
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Arts & Humanities,*,*,*
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Health Science,6,3,3
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Industrial Education,21,13,13
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Natural Sciences,*,*,*
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Oral Communications,3,3,3
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Quantitative Reasoning,3,3,*
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Social and Behavioral Sciences,31,28,24
20242025,012,BRACKEN,013,Augusta Independent,,All Schools,013000,,2100180,KEDC,903,,Dual Credit,Written Communications,28,27,27
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,All Enrollments,95,79,72
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Arts & Humanities,*,*,*
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Health Science,6,3,3
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Industrial Education,21,13,13
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Natural Sciences,*,*,*
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Oral Communications,3,3,3
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Quantitative Reasoning,3,3,*
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Social and Behavioral Sciences,31,28,24
20242025,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018000000,KEDC,903,A1,Dual Credit,Written Communications,28,27,27
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,All Enrollments,138,134,111
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Agricultural Education,*,*,*
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Health Science,6,6,6
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Information Technology,*,*,*
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Multiple Pathway Career and Technical Education,*,*,*
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Natural Sciences,40,40,30
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Oral Communications,21,21,17
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Quantitative Reasoning,4,4,4
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Social and Behavioral Sciences,23,21,17
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Visual and Performing Arts General,5,4,4
20242025,004,BALLARD,015,Ballard County,,All Schools,015000,,2100210,WKEC,908,,Dual Credit,Written Communications,34,34,29
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,All Enrollments,138,134,111
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Agricultural Education,*,*,*
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Health Science,6,6,6
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Information Technology,*,*,*
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Multiple Pathway Career and Technical Education,*,*,*
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Natural Sciences,40,40,30
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Oral Communications,21,21,17
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Quantitative Reasoning,4,4,4
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Social and Behavioral Sciences,23,21,17
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Visual and Performing Arts General,5,4,4
20242025,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000000,WKEC,908,A1,Dual Credit,Written Communications,34,34,29
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,All Enrollments,350,288,279
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Science,16,16,16
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Arts & Humanities,25,25,25
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Business Education,6,6,6
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Health Science,57,33,33
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Industrial Education,54,39,38
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Information Technology,*,*,*
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Miscellaneous,5,5,5
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Multiple Pathway Career and Technical Education,8,8,8
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Natural Sciences,10,7,5
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Oral Communications,3,3,3
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Quantitative Reasoning,33,26,25
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Social and Behavioral Sciences,63,56,56
20242025,061,KNOX,016,Barbourville Independent,,All Schools,016000,,2100240,SESC,907,,Dual Credit,Written Communications,68,62,57
20242025,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024000000,SESC,907,A1,Dual Credit,All Enrollments,350,288,279
20242025,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024000000,SESC,907,A1,Dual Credit,Science,16,16,16
